from_state,to_state,setting,incidence_trial,incidence_trial_low,incidence_trial_high,incidence_obs,incidence_obs_low,incidence_obs_high,annual_transition_prob,citation,,,
F0,F1,SOC,19.1,9.4,39.1,6.5,4.6,9,,Le 2023,,,
F1,F0,SOC,12.7,7.5,21.5,2.50,1.40,4.60,,Le 2023,,,
F1,F2,SOC,25.4,13.4,48.1,6.9,4.8,10,,Le 2023,,,
F2,F1,SOC,21.2,14.9,30.1,4.60,2.40,8.80,,Le 2023,,,
F2,F3,SOC,18.5,12.7,26.9,5.8,4.6,7.3,,Le 2023,,,
F3,F2,SOC,17.2,12.9,22.9,6,3.7,9.6,,Le 2023,,,
F3,F4,SOC,8,4.5,14,4.5,3.3,6,,Le 2023,,,
F4,F3,SOC,9,4.6,17.9,4.7,2.1,10.8,,Le 2023,,,
F3,HCC,SOC,,,,,,,0.0034,Kim 2025,,,
F4,HCC,SOC,,,,,,,0.0378,Kim 2025,,,
F4,DC,SOC,,,,,,,0.0659,Kim 2025,,,
DC,HCC,SOC,,,,,,,0.006933976,Rustgi 2022 (could pull from Kim 2025),,,
DC,LT,SOC,,,,,,,0.023113255,Rustgi 2022,,,
DC,Death,SOC,,,,,,,0.150738619,Rustgi 2022 (could pull from Kim 2025),,,
HCC,LT,SOC,,,,,,,0.030144695,Rustgi 2022,,,
HCC,Death,SOC,,,,,,,0.345659164,Rustgi 2022 (could pull from Kim 2025),,,
LT,Death,SOC,,,,,,,0.040176778,Rustgi 2022,,,
