index,QALY,Cost,Delta_Cost,Delta_QALY,ICER,Tx,Start_age,length_tx_past_18
SOC,19.403789507741067,435714.30798612797,435714.30798612797,19.403789507741067,22455.11413181953,SOC,12_,1.5
Semaglutide-start_18-len_1.5,19.580868526160558,437317.53128961375,1603.2233034857782,0.1770790184194908,9053.716910084893,Semaglutide,18,1.5
Semaglutide-start_15-len_1.5,19.823342199106943,446178.6334379057,8861.102148291946,0.24247367294638522,36544.594885776634,Semaglutide,15,1.5
Semaglutide-start_12-len_1.5,19.98680179311252,459138.3438267878,12959.710388882086,0.16345959400557675,79283.87726473821,Semaglutide,12,1.5
SOC,19.403789507741067,435714.30798612797,435714.30798612797,19.403789507741067,22455.11413181953,SOC,12_,5.0
Semaglutide-start_18-len_5.0,19.87105185661742,443631.032082289,7916.724096161022,0.46726234887635343,16942.781962207573,Semaglutide,18,5.0
Semaglutide-start_15-len_5.0,20.069535055597594,454101.4802351408,10470.448152851837,0.19848319898017408,52752.31458707848,Semaglutide,15,5.0
Semaglutide-start_12-len_5.0,20.207965837660442,467998.06263469905,13896.582399558218,0.13843078206284787,100386.50502782784,Semaglutide,12,5.0
SOC,19.403789507741067,435714.30798612797,435714.30798612797,19.403789507741067,22455.11413181953,SOC,12_,20.0
Semaglutide-start_18-len_20.0,20.551838187745005,466733.64125766867,31019.3332715407,1.1480486800039387,27019.179423153277,Semaglutide,18,20.0
Semaglutide-start_15-len_20.0,20.70758476006343,479165.7532390248,12432.111981356109,0.15574657231842437,79822.70040549345,Semaglutide,15,20.0
Semaglutide-start_12-len_20.0,20.822124239040768,494214.4356252142,15048.682386189408,0.1145394789773384,131384.23991929268,Semaglutide,12,20.0
SOC,19.403789507741067,435714.30798612797,435714.30798612797,19.403789507741067,22455.11413181953,SOC,12_,88
Semaglutide-start_18-len_88,20.85249066824046,492157.2650812947,56442.95709516673,1.4487011604993931,38961.076745261824,Semaglutide,18,88
Semaglutide-start_15-len_88,21.008620986154963,504989.2023200354,12831.937238740677,0.15613031791450283,82187.35099077594,Semaglutide,15,88
Semaglutide-start_12-len_88,21.123670256491238,520287.33584910317,15298.133529067796,0.1150492703362751,132970.27859762346,Semaglutide,12,88
