index,QALY,Cost,Delta_Cost,Delta_QALY,ICER,Tx,Start_age,length_tx_past_18
SOC,19.403789507741067,435714.30798612797,435714.30798612797,19.403789507741067,22455.11413181953,SOC,12_,1.5
Semaglutide-start_18-len_1.5,19.580868526160558,437317.53128961375,1603.2233034857782,0.1770790184194908,9053.716910084893,Semaglutide,18,1.5
Semaglutide-start_15-len_1.5,19.571268079627643,438733.72963969974,1416.1983500859933,-0.009600446532914475,-147513.80003322283,Semaglutide,15,1.5
Semaglutide-start_12-len_1.5,19.54267903322325,440015.2707829928,1281.541143293085,-0.028589046404391638,-44826.29903655073,Semaglutide,12,1.5
SOC,19.403789507741067,435714.30798612797,435714.30798612797,19.403789507741067,22455.11413181953,SOC,12_,5.0
Semaglutide-start_18-len_5.0,19.87105185661742,443631.032082289,7916.724096161022,0.46726234887635343,16942.781962207573,Semaglutide,18,5.0
Semaglutide-start_15-len_5.0,19.861476172650537,447362.0596672649,3731.0275849759346,-0.00957568396688302,-389635.62267504755,Semaglutide,15,5.0
Semaglutide-start_12-len_5.0,19.810414341992793,451870.1038569226,4508.044189657667,-0.05106183065774417,-88285.98841028754,Semaglutide,12,5.0
SOC,19.403789507741067,435714.30798612797,435714.30798612797,19.403789507741067,22455.11413181953,SOC,12_,20.0
Semaglutide-start_18-len_20.0,20.551838187745005,466733.64125766867,31019.3332715407,1.1480486800039387,27019.179423153277,Semaglutide,18,20.0
Semaglutide-start_15-len_20.0,20.621972174790272,475174.0427177333,8440.401460064633,0.07013398704526708,120346.80781255008,Semaglutide,15,20.0
Semaglutide-start_12-len_20.0,20.63555470794621,485566.78936796583,10392.746650232526,0.013582533155936716,765155.2571907411,Semaglutide,12,20.0
SOC,19.403789507741067,435714.30798612797,435714.30798612797,19.403789507741067,22455.11413181953,SOC,12_,82.0
Semaglutide-start_18-len_82.0,20.85249066824046,492157.2650797857,56442.95709365775,1.4487011604993931,38961.07674422022,Semaglutide,18,82.0
Semaglutide-start_15-len_82.0,21.008620986012026,504989.20120235794,12831.936122572224,0.1561303177715665,82187.34391706399,Semaglutide,15,82.0
Semaglutide-start_12-len_82.0,21.12367024673895,520287.28418560594,15298.082983247994,0.11504926072692356,132969.85036313208,Semaglutide,12,82.0
